Counter,Voltage
0,0.074
1,0.152
2,0.096
3,0.062
4,0.05
5,0.044
6,0.04
7,0.04
8,0.042
9,0.04
10,0.04
11,0.04
12,0.04
13,0.04
14,0.04
15,0.04
16,0.04
17,0.04
18,0.04
19,0.038
20,0.04
21,0.04
22,0.04
23,0.04
24,0.04
25,0.038
26,0.038
27,0.04
28,0.04
29,0.038
30,0.038
31,0.04
32,0.038
33,0.038
34,0.038
35,0.04
36,0.04
37,0.038
38,0.038
39,0.04
40,0.038
41,0.038
42,0.038
43,0.038
44,0.04
45,0.04
46,0.038
47,0.038
48,0.04
49,0.04
50,0.038
51,0.038
52,0.04
53,0.038
54,0.038
55,0.04
56,0.04
57,0.04
58,0.038
59,0.038
60,0.04
61,0.038
62,0.038
63,0.04
64,0.038
65,0.038
66,0.038
67,0.04
68,0.038
69,0.038
70,0.038
71,0.04
72,0.04
73,0.038
74,0.04
75,0.04
76,0.038
77,0.04
78,0.038
79,0.038
80,0.04
81,0.038
82,0.04
83,0.038
84,0.04
85,0.04
86,0.038
87,0.038
88,0.038
89,0.04
90,0.04
91,0.038
92,0.038
93,0.038
94,0.038
95,0.038
96,0.038
97,0.04
98,0.038
99,0.038
100,0.038
101,0.038
102,0.04
103,0.038
104,0.038